CID,Smiles,Viscosity,Temp
4,CC(CN)O,24,25
180,CC(=O)C,0.34,40
263,CCCCO,2.11,40
284,C(=O)O,1.5,
342,CC1=CC(=CC=C1)O,4.05,50
679,CS(=O)C,1.95,20
795,C1=CN=CN1,2.617,100
1004,OP(=O)(O)O,40,20
1140,CC1=CC=CC=C1,0.68,20
3024,C(Br)Br,0.39,25
3485,C(CC=O)CC=O,12.75,25
5558,C(Br)(Br)Br,0.74,15
5565,C(CNCCNCCN)N,27.24,20
5976,CN(C)N,0.6,25
6054,C1=CC=C(C=C1)CCO,3.1,50
6228,CN(C)C=O,0.85,25
6276,CCCCCO,5,20
6328,CI,0.18,40
6333,C(Cl)Br,0.33,20
6344,C(Cl)Cl,0.32,20
6363,CC(C)N,0.47,20
6377,CC1CN1,0.6,25
6378,CC1CO1,0.34,25
6417,CC(C)(C)C(=O)O,4.2,37.8
6556,CCC(C)C,0.3,20
6557,CC(=C)C=C,0.3,22.5
6561,CC(C)C=O,0.7,28
6562,CC(=C)C=O,0.59,20
6568,CCC(C)O,3.8,25
6574,C(C(Cl)Cl)Cl,1.17,25
6587,CC[N+](=O)[O-],0.644,20
6591,C(C(Cl)Cl)(Cl)Cl,1.11,20
6616,CC1(C2CCC(C2)C1=C)C,1.84,50
7000,COC1=CC=CC=C1N,2.028,55
7150,COC(=O)C1=CC=CC=C1,1.33,20
7288,CCC(=O)CC,0.6,
7290,C(C(CCl)O)O,182,20
7354,CCCCOC(=O)C(=C)C,1.02,24
7355,CC(=C)C(=O)OCCOC(=O)C(=C)C,3.03,20
7361,C1=COC(=C1)CO,4.09,25
7362,C1=COC(=C1)C=O,1.28,25
7367,C1=CC=C(C=C1)C(Cl)(Cl)Cl,1.7,20
7406,CC(C)C1=CC=CC=C1,0.85,25
7499,C=CC1CCC=CC1,0.84,20
7500,CCC1=CC=CC=C1,0.6,25
8023,CCOC=C,0.3,
8058,CCCCCC,1.4,
8094,CCCCCCC(=O)O,4.8,20
8193,CCCCCCCCCCCCO,21.7,20
8197,C(CNCCNCCNCCN)N,96.9,20
8294,CC(=CCCC(C)(C=C)OC(=O)C)C,2.4,23
8858,CC(=CC(=O)C)C,0.75,20
11173,CC(=CCO)C,3.5,25
11251,CC(C)C(=O)C,0.63,16
11428,CCC(CC)O,8.13,20
11429,CCC(CO)O,7.3,20
11552,CC(C)CC=O,0.725,20
11906,C1=CC=C(C(=C1)CCl)Cl,1.95,20
12146,CC(=O)OC1CCCCC1,2.34,20
12198,CC(COC(=O)C)OC(=O)C,2.86,20
12232,CSSC,0.58,20
12968,CCCN(CCC)C(=O)SCC,5.2,20
13165,C=CC(=O)OCCO,5.2,15
13360,CC(=C)C(=O)OCCO,8.4,20
13381,CCCCCCCCC=C,1.1,20
13387,CN1CCCC1=O,1.62,25
15586,CC(F)(Cl)Cl,0.33,25
24408,BrBr,0.264,40
31260,CC(C)CCO,4.67,25
31275,C1COCCO1,1.17,25
73791,CCCCOCCOCCOCCOCCO,13.9,20
165746,CC(C)CCCCCOC(=O)C=C,2,25
